title,sell_price,orlg_price,rating
SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,"₹23,990","₹31,990",4.4
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digi Touch Cool,"₹16,690","₹21,990",4.4
LG 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,"₹16,990","₹21,490",4.5
LG 260 L Frost Free Double Door Top Mount 3 Star Refrigerator  with Smart Inverter,"₹24,490","₹33,690",4.4
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹12,790","₹14,990",4.4
LG 260 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator  with Smart Inverter,"₹24,990","₹36,390",4.4
LG 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹15,990","₹18,990",4.4
Godrej 185 L Direct Cool Single Door 2 Star Refrigerator,"₹11,990","₹16,350",4.3
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹16,490","₹19,990",4.4
SAMSUNG 253 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹25,090","₹34,990",4.4
SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹17,690","₹21,990",4.5
SAMSUNG 253 l Frost Free Double Door 2 Star Refrigerator,"₹21,990","₹26,990",4.4
LG 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹15,990","₹23,899",4.4
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹16,490","₹19,990",4.5
Whirlpool 245 L Frost Free Double Door 3 Star Refrigerator,"₹22,190","₹29,700",4.2
Haier 53 L Direct Cool Single Door 2 Star Refrigerator,"₹6,990","₹12,500",4.3
LG 190 L Direct Cool Single Door 4 Star Refrigerator,"₹14,990","₹18,690",4.5
Godrej 236 L Frost Free Double Door 2 Star Refrigerator,"₹18,990","₹21,900",4.2
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹14,990","₹17,990",4.3
SAMSUNG 275 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹28,990","₹36,990",4.4
Godrej 190 L Direct Cool Single Door 5 Star Refrigerator,"₹15,990","₹21,000",4.4
Godrej 236 L Frost Free Double Door 2 Star Refrigerator,"₹19,490","₹21,900",4.3
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹11,490","₹15,600",4.3
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹14,990","₹17,990",4.4
,,,
,,,
MarQ by Flipkart 190 L Direct Cool Single Door 3 Star Refrigerator,"₹10,490","₹15,990",4.2
Godrej 185 L Direct Cool Single Door 4 Star Refrigerator,"₹13,990","₹16,490",4.3
Godrej 185 L Direct Cool Single Door 4 Star Refrigerator,"₹13,990","₹16,490",4.3
SAMSUNG 324 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹33,990","₹41,990",4.3
Haier 195 L Direct Cool Single Door 4 Star Refrigerator,"₹16,490","₹28,200",4.4
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹14,590","₹17,990",4.4
Whirlpool 300 L Frost Free Triple Door Refrigerator,"₹31,990","₹43,950",4.4
MarQ by Flipkart 560 L Frost Free Side by Side Refrigerator  with Water Dispenser,"₹49,990","₹65,999",4.5
Haier 195 L Direct Cool Single Door 5 Star Refrigerator,"₹15,490","₹23,700",4.4
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator with Base Drawer,"₹14,490","₹16,990",4.4
SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹18,590","₹22,990",4.4
Whirlpool 240 L Frost Free Triple Door Refrigerator,"₹26,490","₹33,250",4.4
SAMSUNG 345 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹35,990","₹44,990",4.3
LG 235 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹19,250","₹30,399",4.4
LG 190 L Direct Cool Single Door 2 Star Refrigerator,"₹12,790","₹17,899",4.5
SAMSUNG 253 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹23,990","₹32,990",4.4
Godrej 236 L Frost Free Double Door 2 Star Refrigerator,"₹19,490","₹21,900",4.3
LG 190 L Direct Cool Single Door 4 Star Refrigerator,"₹15,490","₹20,390",4.4
Haier 258 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹23,490","₹39,600",4.4
LG 235 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹19,990","₹30,499",4.4
LG 215 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Moist 'N' F...,"₹20,490","₹29,099",4.6
LG 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹16,790","₹20,990",4.4
CANDY 170 L Direct Cool Single Door 2 Star Refrigerator,"₹9,490","₹12,000",4.3
Whirlpool 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹26,290","₹34,050",4.3
,,,
,,,
Haier 630 L Frost Free Side by Side Convertible Refrigerator,"₹64,990","₹1,31,900",4.5
CANDY 170 L Direct Cool Single Door 2 Star Refrigerator,"₹9,490","₹12,000",4.3
