title,sell_price,orlg_price,rating
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with 2022 Model,"₹13,490","₹18,900",4.4
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8
realme 80 cm (32 inch) HD Ready LED Smart Android TV,"₹10,999","₹17,999",4.3
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹12,999","₹24,999",4.4
Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV,"₹7,999","₹16,999",4.2
realme 100.3 cm (40 inch) Full HD LED Smart Android TV,"₹17,999","₹31,999",4.3
Mi 5A 108 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹22,999","₹35,999",4.4
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8
OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹23,999","₹31,999",4.3
OnePlus Y1 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio,"₹19,999","₹27,999",4.3
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹14,999","₹21,999",4.3
SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹90,990","₹1,44,900",4.2
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV,"₹12,990","₹21,990",4.4
Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel-Less Design,"₹7,999","₹14,999",4.5
Mi X Series 125 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 30W Dolby Audio (2...,"₹31,999","₹44,999",4.4
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,889","₹12,999",3.8
SAMSUNG Crystal 4K Neo Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹30,970","₹47,900",4.4
Vu Premium 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹24,999","₹45,000",4.4
SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,"₹29,999","₹52,900",4.3
SAMSUNG Crystal 4K 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"₹45,990","₹69,900",4.3
Mi 5A 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹20,999","₹29,999",4.4
MOTOROLA Revou 2 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Sound by boAt and Dolby Visi...,"₹21,999","₹39,000",4.3
SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV,"₹13,490","₹22,900",4.4
Adsun 98.9 cm (39 inch) HD Ready LED Smart Android Based TV,"₹12,349","₹22,999",3.8
,,,
,,,
Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 30W Dolby Atmos,"₹29,999","₹49,999",4.3
Coocaa 80 cm (32 inch) HD Ready LED Smart Coolita TV with Dolby Audio and Eye Care Technology,"₹7,999","₹36,990",4.2
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with 2022 Model,"₹13,490","₹18,900",4.4
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8
SAMSUNG Crystal 4K Pro 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search,"₹30,990","₹54,900",4.4
Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV with 20W Powerful Audio & Bezel-le...,"₹19,999","₹29,999",4.3
SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹46,990","₹70,900",4.4
SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹90,990","₹1,44,900",4.2
Vu Premium TV 80 cm (32 inch) HD Ready LED Smart Linux TV with Bezel-Less Frame,"₹10,499","₹20,000",4.2
Vu 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV,"₹23,999","₹40,000",4.4
Compaq 108 cm (43 inch) Full HD LED Smart Android TV,"₹15,999","₹32,999",4.2
Vu Premium 108 cm (43 inch) Full HD LED Smart Linux TV,"₹17,999","₹35,000",4.2
SAMSUNG Crystal 4K 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"₹45,990","₹69,900",4.3
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8
MOTOROLA Revou 2 80 cm (32 inch) HD Ready LED Smart Android TV with Sound by boAt,"₹10,999","₹20,000",4.3
Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 30W Dolby Audio (2...,"₹38,999","₹54,999",4.4
SAMSUNG The Frame 125 cm (50 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹75,990","₹1,24,900",4.2
SAMSUNG The Frame 108 cm (43 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹61,990","₹91,900",4.2
Thomson R9 60 cm (24 inch) HD Ready LED TV,"₹5,999","₹10,499",4.1
MarQ by Flipkart 60 cm (24 inch) HD Ready LED TV,"₹5,499","₹14,999",4.2
